Name,SecondaryName,Category,Difficulty,FakieDifficulty,SwitchDifficulty,NollieDifficulty,SpecialTrick
Backside 180 Switch Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside 180 Switch Nose Manual Fakie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Fakie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Fakie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
